grunnsetning	lagfærð_setning	samþykkt	hafnað
1342 átti sér stað mikill borgarbruni í Mechelen.	Árið 1342 varð mikill borgarbruni í Mechelen.	2	0
15 framboð voru í boði, þar af 11 sem bjóða fram á landsvísu.	15 framboð voru í boði, þar af 11 sem buðu fram á landsvísu.	2	0
1803 sótti Napoleon sjálfur borgina heim.	Napoleon sótti sjálfur borgina heim 1803.	2	1
1803 sótti Napoleon sjálfur borgina heim.	Árið 1803 sótti Napoleon sjálfur borgina heim.	5	1
1815 rauf Belgía sig frá konungdæmi Niðurlanda.	1815 reif Belgía sig frá konungdæmi Niðurlanda.	1	0
1830 gerðu Belgar uppreisn og lýstu yfir sjálfstæði.	1830 gerðu Belgar uppreisn og lýstu yfir sjálfstæði sínu.	1	0
200 kílómetrar voru í þann bíl.	200 kílómetrar voru í næsta bíl.	0	1
2010 var Leikfangasaga 3 frumsýnd.	Árið 2010 var Leikfangasaga 3 frumsýnd.	0	1
230 dagar eru eftir af árinu.	Nú/Alls eru 230 dagar eftir af árinu.	0	1
26. Landsmót UMFÍ stendur yfir dagana 9. 12. júlí á Akureyri.	Dagana 9-12. júli stendur yfir 26. Landsmót UMFÍ á Akureyri.	3	4
26. Landsmót UMFÍ stendur yfir dagana 9. 12. júlí á Akureyri.	26. Landsmót UMFÍ stendur yfir dagana 9. til 12. júlí á Akureyri.	4	1
4. til 7. bekkur fór í að reyna að aga börnin til.	4. til 7. bekkur fór í að aga börnin.	1	0
Á annan tug hafa verið teknir undir áhrifum.	Á annan tug hafa verið tekin undir áhrifum.	1	0
Aðeins örfá prósent íbúa Kenía borga nokkurn skatt.	Einugis brot íbúa Kenía greiða skatta	1	0
Að fara á reiðhjól verður vinsælla í London.	Að ferðast á reiðhjóli verður vinsælla í London.	7	0
Á diski 1 eru kaflar 1 - 25 og á diski 2 kaflar 26 - 53 :	Á diski 1 eru kaflar 1 - 25 og á diski 2 eru kaflar 26 - 53 :	1	0
Að menn geti gripið til neyðarréttar.	Menn geta gripið til neyðarréttar.	1	1
Að því búnu lögðu þremenningarnir leið sína í N1 í Hveragerði.	Að svo búnu lögðu þremenningarnir leið sína í N1 í Hveragerði.	2	1
Æfðu þangað til þér líður eins og þú sért að deyja 10.	Æfðu þangað til þér líður eins og þú sért að deyja 10 sinnum.	2	0
Afhverju er hjónaband svona algengt alls staðar í heiminum?	Af hverju er hjónaband svona algengt alls staðar í heiminum?	3	0
Afhverju er þeim sem vilja játast frammi fyrir guði mismunað?	Af hverju er þeim sem vilja játast hvort öðru frammi fyrir Guði mismunað?	1	0
Aftakabylur var og mikill kuldi - 10° til -20° frost.	Það var aftakabylur og -10° til -20° frost.	1	0
Á Íslandi vex engin annar botnþörungur í eins miklu magni.	Enginn annar botnþörungur vex í eins miklu magni á Íslandi.	2	0
Á Íslandi vex engin annar botnþörungur í eins miklu magni.	Á Íslandi vex enginn annar botnþörungur í eins miklu magni.	3	1
Allt frá nýfæddum börnum uppí harðsvíraða glæpamenn.	Allt frá nýfæddum börnum upp í harðsvíraða glæpamenn.	3	2
Allt snýstu um að vinna hina skólana og vera besti skólinn.	Allt snýst um að vinna hina skólana og vera besti skólinn.	1	0
Á næstu árum hófu barnasjónvarpstöðvar sýningar á þættinum.	Á næstu árum hófu barnasjónvarpsstöðvar sýningar á þættinum.	1	0
Anna Mjöll Ólafsdóttir ( fædd 1970 ) er íslensk söngkona.	Anna Mjöll Ólafsdóttir (fædd 1970) er íslensk söngkona.	2	0
Annar hlutinn lifði fékk tækifæri en hinn ekki.	Annar lifði og fékk tækifæri en hinn ekki.	4	1
Á nýlendutíma Spánverja hefur fjallið margoft gosið.	Á nýlendutíma Spánverja gaus fjallið margoft.	4	0
Árið 1430 varð Brabant eign Búrgundar og 1477 Habsborgar.	Árið 1430 varð Brabant eign Búrgundar og árið 1477 eign Habsborgar.	1	0
Árið 1952 dvaldist hún og Magnús í París.	Árið 1952 dvöldust hún og Magnús í París.	1	0
Árin liðu og lokst kom að sjötta bekk.	Árin liðu og loks kom að sjötta bekk.	5	0
Ári seinna kom önnur Dirk Gently bók út.	Ári seinna kom önnur bók Dirk Gently út.	1	0
Á Sansibar eru aftur á móti 99% íbúanna múslimar.	Á Sansibar eru aftur á móti 99% íbúanna múslímar.	0	5
Á sumrin getur hitinn hinsvegar farið yfir 45 gráður.	Á sumrin getur hitinn hins vegar farið yfir 45 gráður.	3	1
Auk þess er væg acetonlykt af andardrættinum og mjólkinni.	Auk þess er væg asetonlykt af andardrættinum og mjólkinni.	2	1
Auk þess sprang, Pollamót og Þjóðhátíð.	Auk þess sprang, pollamót og þjóðhátíð.	0	1
Auk þess sú einfalda staðreynd að fá ferskan markvörð inn.	Auk þess snýst sú einfalda staðreynd um að fá ferskan markvörð inn.	1	0
Auk þess sú einfalda staðreynd að fá ferskan markvörð inn.	Auk þess sú einfalda staðreynd að fá óþreyttan markvörð inn.	2	0
Austraumar náðu að borginni Legazpi og eyðilögðu heil hverfi.	Aurstraumar náðu að borginni Legazpi og eyðilögðu heil hverfi.	1	0
Á veturnar leitar hún í hlýrri sjó í suðurhluta Norðursjávar.	Á veturna leitar hún í hlýrri sjó í suðurhluta Norðursjávar.	3	0
Bílum komið niður á ströndina og svæðið spólað upp.	Bílum var ekið niður á ströndina og svæðið spólað upp.	1	0
Boltinn flýgur áfram á ógnarferð.	Boltinn flýgur áfram á ógnarhraða.	2	0
Botswana er líka eitt af dreifbýlustu löndum heims.	Botswana er einnig eitt af dreifbýlustu löndum heims.	1	0
Brawn bílarnir eru léttari og gæti verið snarpari af stað.	Brawn-bílarnir eru léttari og gætu verið snarpari af stað.	1	0
Breiðablik féll niður í 3. deild.	Breiðablik féll niður í þriðju deild.	2	0
Brönugras hefur fundist allt upp í 2,200 metra hæð.	Brönugras hefur fundist í allt að 2.200 metra hæð.	3	0
Brynjar Þór er með 20 stig fyrir og Lewis 20 fyrir gestina.	Brynjar Þór er með 20 stig fyrir heimaliðið og Lewis 20 fyrir gestina.	1	0
Chas verður öskureiður og eltast við Eli um húsið.	Chas verður öskureiður og elti Eli um húsið.	1	0
Chas verður öskureiður og eltast við Eli um húsið.	Chas verður öskureiður og eltist við Eli um húsið.	1	2
Dæmi um samræmd tákn er t. d. að læra.	Dæmi um samræmt tákn er: „að læra“.	1	0
Dæmi um samræmd tákn er t. d. að læra.	Dæmi um samræmd tákn er að læra.	1	1
Dæmi um svoleiðis hljómsveit voru tildæmis The Monkees.	Dæmi um svoleiðis hljómsveit var The Monkees.	1	1
Dagurinn í dag hafði verið hans dagur.	Dagurinn í dag hefur verið dagurinn hans.	0	1
Deaner sex ára strákur sem verður bráðum sjö ára.	Deaner er sex ára strákur sem verður bráðum sjö ára.	3	2
Draumar fæðast oft jafnvel meðan að maður er enn barn.	Draumar fæðast oft jafnvel á meðan maður er enn barn.	2	0
Drög af frumvarpi verða rædd á ríkisstjórnarfundi í dag.	Drög að frumvarpi verða rædd á ríkisstjórnarfundi í dag.	4	0
Eftir 14 ára skólagöngu er þessu loksins að verða lokið.	14 ára skólagöngu er loksins að verða lokið.	0	1
Eftirminnilegasti fiskurinn?	Hver er eftirminnilegasti fiskurinn?	2	0
Eftir smá stund komu sjúkraliðarnir og lögreglan með.	Eftir smástund komu sjúkraliðarnir og lögreglan með.	0	1
Eftir smá stund komu sjúkraliðarnir og lögreglan með.	Eftir smástund komu sjúkraliðarnir og lögreglan.	3	0
Ef þau væru of veik mætti svæfa þau fyrir fullt.	Ef þau væru of veik mætti svæfa þau fyrir fullt og allt.	4	0
Ég ætla að fjalla um merkasta tímamót í mínu lífi.	Ég ætla að fjalla um merkustu tímamótin í mínu lífi.	2	0
Ég átti ekki vona á sigri um þessa mótshelgi.	Ég átti ekki von á sigri um þessa mótshelgi.	3	0
Eggið klekst út á 7 - 8 dögum eftir frjóvgun.	Eggið klekst út 7 - 8 daga eftir frjóvgun.	2	1
Ég hef ekki ennþá ákveðið mig hvern ég mun aðallega nota.	Ég hef ekki ennþá ákveðið mig hvern ég munï aðallega nota.	1	0
Ég veit ekki afhverju ég þorði ekki að gefa hann upp.	Ég veit ekki af hverju ég þorði ekki að gefa hann upp.	1	1
Ég veit hvað ég myndi gera í annað skipti.	Ég veit hvað ég mundi gera í annað skipti.	1	1
Ein aðferð biblíódrama er biblíólog.	Ein aðferð sagnaspuna er biblíólog.	1	1
Einnig hefur brotist út þetta gríðarlega gsm síma æði.	Einnig hefur brotist út þetta gríðarlega GSM-síma æði.	4	0
Einungsi tíu stig hingað til frá Íslandi í þriðja leikhluta.	Einungis tíu stig hingað til hjá íslenska liðinu í þriðja leikhluta.	2	1
Einungsi tíu stig hingað til frá Íslandi í þriðja leikhluta.	Einungis tíu stig í þriðja leikhluta hingað til frá Íslandi.	2	0
Eitt eiga meðlimirnir sameiginlegt-þeir eru allir fæddir 1979.	Eitt eiga meðlimirnir sameiginlegt: þeir eru allir fæddir 1979.	0	1
Ekkert til í þessu, segir Forstjóri VALITOR.	Ekkert til í þessu, segir forstjóri Valitor	2	0
Ekki frá ríkinu það er alveg á hreinu.	Ekki frá ríkinu, það er alveg á hreinu.	1	0
Ekki nema að Heimsstyrjöldin þriðja skelli á.	Ekki nema að þriðja heimsstyrjöldin skelli á.	1	0
Ekki nema að Heimsstyrjöldin þriðja skelli á.	Ekki nema Heimsstyrjöldin þriðja skelli á.	3	2
Eldaskildagi er þennan dag á Íslandi.	Þennan dag er eldaskildagi á Íslandi.	5	0
Elfstedentocht er líklega eitt þekktasta skautahlaup heims.	eitt þekktasta skautahlaup heims er líklega elfstedentocht	1	0
Elías Már Ómarssonlék á alls oddi og var besti maður vallarins.	Elías Már Ómarsson lék á als oddi og var besti maður vallarins.	5	0
Enda er fyrstu afmæli barns í þeirra augum stærstu tímamótin.	Enda eru fyrstu afmæli barns í þess augum stærstu tímamótin.	0	4
Enda er fyrstu afmæli barns í þeirra augum stærstu tímamótin.	Enda eru fyrstu afmæli barns í þeirra augum stærstu tímamótin.	0	1
Endurbygging borgarinnar tók síðan yfir tíu ár.	Endurbygging borgarinnar tók meira en áratug.	1	0
En eins og með önnur fíkniefni þá éta þau okkur upp að innan.	En eins og önnur fíkniefni éta þau okkur upp að innan.	1	0
En er rétt að taka að framhaldsskólanum?	En er rétt að taka af framhaldsskólanum?	1	0
En hvað vill sjálfur einstaklingurinn gera?	En hvað vill einstaklingurinn sjálfur gera?	2	0
En hver eru helstu rökin með og á móti.	En hver eru helstu rökin með og á móti?	3	0
En launaleynd hlýtur að gera eitthvað gott.	En launaleynd er ekki endilega alslæm.	1	0
Enn aðrir raða orðunum í skringilega röð.	Enn aðrir raða orðunum skringilega.	4	0
En nú er verkið sjálft hinsvegar einnig horfið.	En nú er verkið sjálft hins vegar einnig horfið.	5	1
